date,region,complaint_count,Anxiety/Worried,Complaint,Anger/Rage,Sad/Disappointed,Suspicion/Mistrust,Expectation,Irritation,Embarrassment/Distress,precipitation_mm,week
2021-01-06,경상북도,1,0.289553502202034,0.0,0.0,0.0,0.0,0.8648179173469543,0.0,0.0,0.35000000000000003,2021-01-05/2021-01-11
2021-01-06,광주광역시,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-06,대구광역시,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-06,대전광역시,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-06,부산광역시,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-06,서울특별시,0,,,,,,,,,2.2,2021-01-05/2021-01-11
2021-01-06,세종특별자치시,0,,,,,,,,,0.1,2021-01-05/2021-01-11
2021-01-06,울산광역시,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-06,인천광역시,0,,,,,,,,,2.433333333333333,2021-01-05/2021-01-11
2021-01-06,전라남도,0,,,,,,,,,0.06923076923076923,2021-01-05/2021-01-11
2021-01-06,전라북도,2,0.4384876936674118,0.3747563898563385,0.33732860088348393,0.297900316119194,0.579613882303238,0.0730940982699394,0.1812357202172279,0.0,0.12,2021-01-05/2021-01-11
2021-01-06,제주특별자치도,0,,,,,,,,,0.525,2021-01-05/2021-01-11
2021-01-06,충청남도,0,,,,,,,,,0.9,2021-01-05/2021-01-11
2021-01-06,충청북도,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-07,강원도,1,0.3248710870742798,0.8031372249126435,0.9213174283504486,0.544034731388092,0.341018745303154,0.0,0.6349460840225221,0.06651145219802855,0.9,2021-01-05/2021-01-11
2021-01-07,경기도,3,0.0,0.9321796596050262,0.40333263874053954,0.8181799381971359,0.16429651975631718,0.0,0.5413880427678427,0.22658691306908926,2.72,2021-01-05/2021-01-11
2021-01-07,경상남도,0,,,,,,,,,0.09285714285714286,2021-01-05/2021-01-11
2021-01-07,경상북도,0,,,,,,,,,1.3857142857142857,2021-01-05/2021-01-11
2021-01-07,광주광역시,0,,,,,,,,,3.2,2021-01-05/2021-01-11
2021-01-07,대구광역시,0,,,,,,,,,0.2,2021-01-05/2021-01-11
2021-01-07,대전광역시,0,,,,,,,,,3.7,2021-01-05/2021-01-11
2021-01-07,부산광역시,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-07,서울특별시,2,0.0,0.0,0.0,0.0,0.0,0.9152491539716721,0.0,0.0,0.1,2021-01-05/2021-01-11
2021-01-07,세종특별자치시,0,,,,,,,,,3.3,2021-01-05/2021-01-11
2021-01-07,울산광역시,0,,,,,,,,,0.2,2021-01-05/2021-01-11
2021-01-07,인천광역시,0,,,,,,,,,1.3333333333333333,2021-01-05/2021-01-11
2021-01-07,전라남도,0,,,,,,,,,1.353846153846154,2021-01-05/2021-01-11
2021-01-07,전라북도,0,,,,,,,,,7.859999999999999,2021-01-05/2021-01-11
2021-01-07,제주특별자치도,0,,,,,,,,,5.324999999999999,2021-01-05/2021-01-11
2021-01-07,충청남도,0,,,,,,,,,3.3833333333333333,2021-01-05/2021-01-11
2021-01-07,충청북도,0,,,,,,,,,1.8800000000000001,2021-01-05/2021-01-11
2021-01-08,강원도,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-08,경기도,1,0.1459482461214065,0.0,0.0,0.0,0.3438315883278847,0.7486687690019608,0.0,0.0,0.0,2021-01-05/2021-01-11
2021-01-08,경상남도,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-08,경상북도,0,,,,,,,,,0.2857142857142857,2021-01-05/2021-01-11
2021-01-08,광주광역시,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-08,대구광역시,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-08,대전광역시,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-08,부산광역시,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-08,서울특별시,1,0.0,0.0,0.0,0.0,0.0,0.6373061925172806,0.0,0.0,0.0,2021-01-05/2021-01-11
2021-01-08,세종특별자치시,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-08,울산광역시,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-08,인천광역시,0,,,,,,,,,1.7333333333333334,2021-01-05/2021-01-11
2021-01-08,전라남도,0,,,,,,,,,0.6846153846153845,2021-01-05/2021-01-11
2021-01-08,전라북도,0,,,,,,,,,0.030000000000000006,2021-01-05/2021-01-11
2021-01-08,제주특별자치도,0,,,,,,,,,5.4,2021-01-05/2021-01-11
2021-01-08,충청남도,0,,,,,,,,,0.11666666666666665,2021-01-05/2021-01-11
2021-01-08,충청북도,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-09,강원도,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-09,경기도,1,0.4029972076416015,0.2954764604568481,0.8018795847892761,0.07256110310554505,0.4080636262893677,0.0,0.0991956114768982,0.0,0.0,2021-01-05/2021-01-11
2021-01-09,경상남도,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-09,경상북도,0,,,,,,,,,0.8928571428571429,2021-01-05/2021-01-11
2021-01-09,광주광역시,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-09,대구광역시,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-09,대전광역시,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-09,부산광역시,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-09,서울특별시,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-09,세종특별자치시,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-09,울산광역시,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-09,인천광역시,0,,,,,,,,,4.133333333333334,2021-01-05/2021-01-11
2021-01-09,전라남도,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7846153846153846,2021-01-05/2021-01-11
2021-01-09,전라북도,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-09,제주특별자치도,0,,,,,,,,,4.45,2021-01-05/2021-01-11
2021-01-09,충청남도,0,,,,,,,,,0.03333333333333333,2021-01-05/2021-01-11
2021-01-09,충청북도,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-10,강원도,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-10,경기도,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-10,경상남도,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-10,경상북도,0,,,,,,,,,0.37857142857142856,2021-01-05/2021-01-11
2021-01-10,광주광역시,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-10,대구광역시,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-10,대전광역시,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-10,부산광역시,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-10,서울특별시,1,0.0,0.4546147733926773,0.7078269422054291,0.4453287690877915,0.6289731055498123,0.0,0.1064010858535766,0.0,0.0,2021-01-05/2021-01-11
2021-01-10,세종특별자치시,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-10,울산광역시,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-10,인천광역시,0,,,,,,,,,4.633333333333334,2021-01-05/2021-01-11
2021-01-10,전라남도,0,,,,,,,,,0.16153846153846155,2021-01-05/2021-01-11
2021-01-10,전라북도,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-10,제주특별자치도,0,,,,,,,,,0.4,2021-01-05/2021-01-11
2021-01-10,충청남도,0,,,,,,,,,0.03333333333333333,2021-01-05/2021-01-11
2021-01-10,충청북도,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-11,강원도,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-11,경기도,1,0.571760031580925,0.06684733629226684,0.0,0.3145443856716156,0.3116222128272056,0.0,0.08933703303337098,0.2063836812973023,0.0,2021-01-05/2021-01-11
2021-01-11,경상남도,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-11,경상북도,0,,,,,,,,,0.10714285714285714,2021-01-05/2021-01-11
2021-01-11,광주광역시,1,0.285672801733017,0.0,0.0,0.0,0.0,0.4518725916743279,0.0,0.0,0.0,2021-01-05/2021-01-11
2021-01-11,대구광역시,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-11,대전광역시,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-11,부산광역시,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-11,서울특별시,1,0.0,0.3282975554466248,0.0,0.1621469751000404,0.279270476102829,0.0,0.1263336718082428,0.0,0.0,2021-01-05/2021-01-11
2021-01-11,세종특별자치시,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-11,울산광역시,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-11,인천광역시,0,,,,,,,,,0.4666666666666666,2021-01-05/2021-01-11
2021-01-11,전라남도,0,,,,,,,,,0.19230769230769232,2021-01-05/2021-01-11
2021-01-11,전라북도,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-11,제주특별자치도,0,,,,,,,,,4.05,2021-01-05/2021-01-11
2021-01-11,충청남도,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-11,충청북도,0,,,,,,,,,0.0,2021-01-05/2021-01-11
2021-01-12,강원도,0,,,,,,,,,0.2642857142857143,2021-01-12/2021-01-18
2021-01-12,경기도,2,0.3355186223983765,0.3421199887990952,0.1451948046684265,0.3670576736330986,0.2562876626849174,0.31958298981189726,0.0,0.0,1.6,2021-01-12/2021-01-18
2021-01-12,경상남도,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-12,경상북도,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-12,광주광역시,1,0.8903296589851379,0.198742949962616,0.0,0.7109377652406692,0.0,0.0,0.0,0.0,0.0,2021-01-12/2021-01-18
2021-01-12,대구광역시,1,0.1428084149956703,0.0,0.1217789143323898,0.0,0.3053457632660866,0.1710549473762513,0.0,0.0,0.0,2021-01-12/2021-01-18
2021-01-12,대전광역시,0,,,,,,,,,1.3,2021-01-12/2021-01-18
2021-01-12,부산광역시,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-12,서울특별시,0,,,,,,,,,2.6,2021-01-12/2021-01-18
2021-01-12,세종특별자치시,0,,,,,,,,,0.6,2021-01-12/2021-01-18
2021-01-12,울산광역시,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-12,인천광역시,0,,,,,,,,,3.5999999999999996,2021-01-12/2021-01-18
2021-01-12,전라남도,0,,,,,,,,,0.23846153846153845,2021-01-12/2021-01-18
2021-01-12,전라북도,1,0.0,0.9790578186511993,0.8074435740709305,0.3657951802015305,0.4124503344297409,0.0,0.8049916982650758,0.2079896569252014,0.78,2021-01-12/2021-01-18
2021-01-12,제주특별자치도,0,,,,,,,,,3.2249999999999996,2021-01-12/2021-01-18
2021-01-12,충청남도,0,,,,,,,,,1.1333333333333333,2021-01-12/2021-01-18
2021-01-12,충청북도,1,0.7296860039234161,0.6087196946144104,0.1051746129989624,0.7724020898342132,0.1975930094718933,0.0,0.1520828753709793,0.4188083171844482,0.3,2021-01-12/2021-01-18
2021-01-13,강원도,0,,,,,,,,,0.09285714285714286,2021-01-12/2021-01-18
2021-01-13,경기도,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-13,경상남도,3,0.6396045843760173,0.38368678291638686,0.5531844178835551,0.5688929955164591,0.33668846487998955,0.19033960402011874,0.2056161959966024,0.14084125359853106,0.0,2021-01-12/2021-01-18
2021-01-13,경상북도,0,,,,,,,,,0.042857142857142864,2021-01-12/2021-01-18
2021-01-13,광주광역시,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-13,대구광역시,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-13,대전광역시,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-13,부산광역시,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-13,서울특별시,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-13,세종특별자치시,0,,,,,,,,,0.1,2021-01-12/2021-01-18
2021-01-13,울산광역시,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-13,인천광역시,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-13,전라남도,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-13,전라북도,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-13,제주특별자치도,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-13,충청남도,0,,,,,,,,,0.03333333333333333,2021-01-12/2021-01-18
2021-01-13,충청북도,0,,,,,,,,,0.08,2021-01-12/2021-01-18
2021-01-14,강원도,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-14,경기도,2,0.0,0.44966186583042145,0.33988845348358154,0.13220459818840025,0.23444299101829524,0.4534183591604233,0.3300602972507477,0.07073647528886795,0.0,2021-01-12/2021-01-18
2021-01-14,경상남도,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-14,경상북도,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-14,광주광역시,1,0.0,0.9891567528247833,0.4234205931425094,0.7808106631040573,0.1126323103904724,0.0,0.7771203458309174,0.4766685128211975,0.0,2021-01-12/2021-01-18
2021-01-14,대구광역시,2,0.4322603516280651,0.2719501808285713,0.4644515812397003,0.0938553810119629,0.1943435490131378,0.0,0.3374326601624489,0.0,0.0,2021-01-12/2021-01-18
2021-01-14,대전광역시,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-14,부산광역시,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-14,서울특별시,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-14,세종특별자치시,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-14,울산광역시,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-14,인천광역시,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-14,전라남도,1,0.3491503074765205,0.0,0.0,0.8761864006519318,0.0,0.0,0.0,0.0,0.0,2021-01-12/2021-01-18
2021-01-14,전라북도,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-14,제주특별자치도,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-14,충청남도,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-14,충청북도,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-15,강원도,0,,,,,,,,,0.14285714285714285,2021-01-12/2021-01-18
2021-01-15,경기도,0,,,,,,,,,0.3,2021-01-12/2021-01-18
2021-01-15,경상남도,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-15,경상북도,0,,,,,,,,,0.02142857142857143,2021-01-12/2021-01-18
2021-01-15,광주광역시,1,0.483185487985611,0.9195258915424347,0.6122911691665649,0.6624125659465789,0.4048870116472244,0.0,0.4960598975419999,0.3275615930557251,0.0,2021-01-12/2021-01-18
2021-01-15,대구광역시,2,0.2399900317192078,0.7606148645281792,0.3487058758735656,0.4955721259117127,0.41954098641872406,0.2160061150789261,0.4649266958236695,0.09949199855327605,0.0,2021-01-12/2021-01-18
2021-01-15,대전광역시,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-15,부산광역시,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-15,서울특별시,0,,,,,,,,,0.2,2021-01-12/2021-01-18
2021-01-15,세종특별자치시,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-15,울산광역시,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-15,인천광역시,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,2021-01-12/2021-01-18
2021-01-15,전라남도,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-15,전라북도,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-15,제주특별자치도,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-15,충청남도,1,0.1964351266622543,0.9726400375366211,0.8492802053689957,0.6159219533205031,0.4738763272762299,0.0,0.7174368381500245,0.2745519876480103,0.016666666666666666,2021-01-12/2021-01-18
2021-01-15,충청북도,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-16,강원도,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-16,경기도,1,0.5996289968490601,0.0,0.0,0.1844680279493332,0.0,0.8871925175189972,0.0,0.0,0.0,2021-01-12/2021-01-18
2021-01-16,경상남도,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-16,경상북도,0,,,,,,,,,2.5142857142857147,2021-01-12/2021-01-18
2021-01-16,광주광역시,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-16,대구광역시,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-16,대전광역시,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-16,부산광역시,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-16,서울특별시,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-16,세종특별자치시,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-16,울산광역시,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-16,인천광역시,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-16,전라남도,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-16,전라북도,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-16,제주특별자치도,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-16,충청남도,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-16,충청북도,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-17,강원도,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-17,경기도,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-17,경상남도,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-17,경상북도,0,,,,,,,,,0.32142857142857145,2021-01-12/2021-01-18
2021-01-17,광주광역시,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-17,대구광역시,1,0.0,0.2778841227293015,0.2334240198135376,0.0,0.6268036723136902,0.0,0.0,0.0,0.0,2021-01-12/2021-01-18
2021-01-17,대전광역시,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-17,부산광역시,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-17,서울특별시,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-17,세종특별자치시,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-17,울산광역시,0,,,,,,,,,0.0,2021-01-12/2021-01-18
2021-01-17,인천광역시,0,,,,,,,,,1.0,2021-01-12/2021-01-18
2021-01-17,전라남도,0,,,,,,,,,0.15384615384615385,2021-01-12/2021-01-18
2021-01-17,전라북도,0,,,,,,,,,0.02,2021-01-12/2021-01-18
2021-01-17,제주특별자치도,0,,,,,,,,,1.45,2021-01-12/2021-01-18
