week,region,complaint_count,precipitation_mm,Anxiety/Worried,Complaint,Anger/Rage,Sad/Disappointed,Suspicion/Mistrust,Expectation,Irritation,Embarrassment/Distress
2021-02-16/2021-02-22,세종특별자치시,0,0.42857142857142855,,,,,,,,
2021-02-16/2021-02-22,울산광역시,1,0.0,0.944315105676651,0.0,0.0,0.6099713712930679,0.3892753794789314,0.1236627101898193,0.0,0.0
2021-02-16/2021-02-22,인천광역시,2,0.2761904761904762,0.1067683294415474,0.7339231669902802,0.4455153733491898,0.4569785505533218,0.3622800692915916,0.21344463527202606,0.5791425183415413,0.0
2021-02-16/2021-02-22,전라남도,2,0.2956043956043956,0.2936969801783562,0.38061185628175737,0.4478898048400879,0.1649504601955414,0.15425506979227066,0.32907976806163786,0.3073266938328743,0.1651919066905975
2021-02-16/2021-02-22,전라북도,1,0.8742857142857143,0.7888179063796997,0.0,0.0,0.7943504631519318,0.0,0.1284295171499252,0.0,0.3371335208415985
2021-02-16/2021-02-22,제주특별자치도,1,0.4428571428571429,0.08103958368301391,0.9647919833660126,0.4662477701902389,0.4533297836780548,0.7735137522220612,0.0,0.7261520117521286,0.2280813336372375
2021-02-16/2021-02-22,충청남도,1,0.6523809523809524,0.5377147972583771,0.9411911964416504,0.7068187981843949,0.4257328182458877,0.6895753592252731,0.0,0.5931733429431916,0.2500253677368164
2021-02-16/2021-02-22,충청북도,4,0.2942857142857143,0.3503781999150912,0.3723493814468384,0.4068465997775396,0.5289834186434746,0.2935987621545792,0.0,0.14687909682591757,0.058341637253761285
2021-02-23/2021-03-01,강원도,2,9.166326530612244,0.0,0.0,0.0,0.0,0.0,0.09291567653417585,0.0,0.0
2021-02-23/2021-03-01,경기도,8,9.694285714285714,0.39700196515768765,0.1299858655780554,0.09004175197333097,0.17534136567264794,0.2077989736571908,0.1850619764998555,0.06215599756687879,0.08316005617380143
2021-02-23/2021-03-01,경상남도,0,5.5377551020408164,,,,,,,,
2021-02-23/2021-03-01,경상북도,1,5.779591836734694,0.5179235488176346,0.4937224924564362,0.414548933506012,0.5376116514205933,0.2030581533908844,0.0,0.1683687716722488,0.07046938687562943
2021-02-23/2021-03-01,광주광역시,0,7.799999999999999,,,,,,,,
2021-02-23/2021-03-01,대구광역시,0,3.5714285714285716,,,,,,,,
2021-02-23/2021-03-01,대전광역시,1,6.785714285714286,0.1030618786811829,0.8194989383220672,0.5642229378223419,0.1973624542355538,0.3255762308835983,0.0,0.8012337684631348,0.661896961927414
2021-02-23/2021-03-01,부산광역시,1,3.4857142857142853,0.5295601308345794,0.1750535488128662,0.0,0.1229658097028732,0.1022508665919304,0.3903388977050781,0.0,0.0
2021-02-23/2021-03-01,서울특별시,4,9.314285714285715,0.3589766999085744,0.6177322616179785,0.39826260805130004,0.507825548450152,0.22478911876678467,0.0554980347553889,0.45187411109606423,0.419776373108228
2021-02-23/2021-03-01,세종특별자치시,0,8.700000000000001,,,,,,,,
2021-02-23/2021-03-01,울산광역시,1,7.4,0.4775038152933121,0.0,0.0,0.0,0.0,0.5479016721248626,0.0,0.0
2021-02-23/2021-03-01,인천광역시,1,6.685714285714286,0.8660182058811188,0.0,0.0,0.2450970679521561,0.0,0.3315802574157715,0.0,0.0
2021-02-23/2021-03-01,전라남도,3,7.217582417582419,0.6695816360414029,0.3931358247995377,0.254184190928936,0.4159074131399393,0.5717755056917668,0.0,0.07085461169481277,0.297304330021143
2021-02-23/2021-03-01,전라북도,2,6.24,0.7387057453393936,0.37573892772197726,0.30947108566761017,0.25631969124078746,0.6450784876942635,0.0,0.14327874779701236,0.17716865465044976
2021-02-23/2021-03-01,제주특별자치도,0,4.742857142857143,,,,,,,,
2021-02-23/2021-03-01,충청남도,2,7.866666666666666,0.28410341963171953,0.09340445399284365,0.0,0.1119216829538345,0.17826101183891296,0.13552889823913575,0.0,0.0
2021-02-23/2021-03-01,충청북도,1,6.46,0.30986487865448,0.0,0.0,0.0,0.1422909319400787,0.2012279033660889,0.0,0.0
2021-03-02/2021-03-08,강원도,3,1.448979591836735,0.28037370344003043,0.4855146984259287,0.4301186492045721,0.3745262573162715,0.4197279493014017,0.0,0.25414473116397857,0.0474503129720688
2021-03-02/2021-03-08,경기도,12,0.31999999999999995,0.38340693379027974,0.4663194047080146,0.42780022894342745,0.4691966541111469,0.32201749843855704,0.08807243725491896,0.311422386020422,0.1526501123276022
2021-03-02/2021-03-08,경상남도,0,3.272448979591837,,,,,,,,
2021-03-02/2021-03-08,경상북도,1,2.186734693877551,0.0,0.9498290717601776,0.8287275105714798,0.7080873489379883,0.562622606754303,0.0,0.4640002191066742,0.0
2021-03-02/2021-03-08,광주광역시,2,1.3142857142857145,0.7101302221417427,0.5741076439619064,0.32839287221431734,0.7697444140911103,0.22200523763895033,0.0,0.31052598953247074,0.12401132732629774
2021-03-02/2021-03-08,대구광역시,1,3.599999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-02/2021-03-08,대전광역시,2,0.9285714285714286,0.17134070247411726,0.0,0.0,0.0,0.0,0.38462953865528104,0.0,0.0
2021-03-02/2021-03-08,부산광역시,0,5.785714285714286,,,,,,,,
2021-03-02/2021-03-08,서울특별시,2,0.34285714285714286,0.5052798949182034,0.0912092328071594,0.0,0.1594790384173393,0.18103860020637516,0.0,0.0653760999441147,0.08990979939699174
2021-03-02/2021-03-08,세종특별자치시,0,0.6714285714285715,,,,,,,,
2021-03-02/2021-03-08,울산광역시,0,3.5857142857142854,,,,,,,,
2021-03-02/2021-03-08,인천광역시,0,0.06666666666666667,,,,,,,,
2021-03-02/2021-03-08,전라남도,1,2.1021978021978023,0.3656734824180603,0.8560643702745439,0.9609472751617432,0.7417308807373048,0.4779618680477142,0.0,0.5895927667617797,0.0
2021-03-02/2021-03-08,전라북도,0,1.0942857142857143,,,,,,,,
2021-03-02/2021-03-08,제주특별자치도,0,6.153571428571429,,,,,,,,
2021-03-02/2021-03-08,충청남도,1,0.4666666666666667,0.5652689516544342,0.0,0.0,0.0,0.0,0.4228853940963745,0.0,0.0
2021-03-02/2021-03-08,충청북도,4,1.1314285714285715,0.883149954676628,0.3059312005837758,0.21651859233776727,0.5108049636085829,0.16071493029594422,0.0819303810596466,0.15590621704856555,0.31112953573465346
2021-03-09/2021-03-15,강원도,2,0.7999999999999999,0.8528785556554794,0.3926831051707268,0.1956325113773346,0.33394386023283007,0.16726121306419375,0.0,0.2422619305551052,0.32218247801065447
2021-03-09/2021-03-15,경기도,11,0.10571428571428572,0.5039462511738142,0.17081824034452436,0.042372943162918085,0.32757845332225166,0.20842101936539015,0.18548433353503546,0.06259794587890308,0.0971931023399035
2021-03-09/2021-03-15,경상남도,2,3.4836734693877545,0.5282045170664788,0.3521486327052117,0.27673931717872624,0.19372464418411256,0.31643741130828856,0.21635882556438446,0.1259399801492691,0.07074790075421335
2021-03-09/2021-03-15,경상북도,2,2.346938775510204,0.661179718375206,0.48855081796646127,0.3868297748267651,0.251893250644207,0.7341250285506249,0.0,0.11941741406917569,0.030535747110843656
2021-03-09/2021-03-15,광주광역시,3,2.542857142857143,0.5938403964042663,0.2729538828134537,0.3108437160650889,0.25190152525901793,0.22180047829945884,0.19702397882938386,0.23880404631296792,0.15205759902795157
2021-03-09/2021-03-15,대구광역시,1,2.7857142857142856,0.395516636967659,0.0,0.0,0.0,0.0,0.3962851166725159,0.0,0.0
2021-03-09/2021-03-15,대전광역시,1,1.7428571428571427,0.6519502699375153,0.0,0.0,0.0,0.0,0.712314248085022,0.0,0.0
2021-03-09/2021-03-15,부산광역시,0,3.3428571428571425,,,,,,,,
2021-03-09/2021-03-15,서울특별시,5,0.0,0.25125300213694574,0.6885667264461517,0.5767860233783723,0.5932663295418024,0.33403385430574417,0.0,0.41717454567551615,0.20030171815305947
2021-03-09/2021-03-15,세종특별자치시,0,0.9142857142857143,,,,,,,,
2021-03-09/2021-03-15,울산광역시,0,4.2,,,,,,,,
2021-03-09/2021-03-15,인천광역시,1,0.0047619047619047615,0.0,0.8713045716285706,0.1725805938243866,0.5616209268569947,0.0,0.2530999749898911,0.5387560084462166,0.0
2021-03-09/2021-03-15,전라남도,3,2.7384615384615385,0.6404428293307621,0.4907234445214272,0.4612059513727824,0.30762714842955274,0.3519964804251989,0.0,0.2836802661418915,0.07907559424638747
2021-03-09/2021-03-15,전라북도,0,2.1414285714285715,,,,,,,,
2021-03-09/2021-03-15,제주특별자치도,0,3.9678571428571425,,,,,,,,
2021-03-09/2021-03-15,충청남도,2,0.6047619047619047,0.7571966052055359,0.17140987664461135,0.36972476541996,0.27773099243640903,0.38250562250614173,0.12539219856262204,0.11213598027825356,0.12100257873535154
2021-03-09/2021-03-15,충청북도,1,1.5571428571428572,0.4857087850570679,0.0,0.0,0.0,0.0,0.5959306955337524,0.0,0.0
2021-03-16/2021-03-22,강원도,5,0.37244897959183676,0.6348712424437205,0.18342307673560246,0.19775274131033158,0.21239043308628933,0.1261115186744266,0.27718766861491734,0.13826150132550133,0.010064164797465006
2021-03-16/2021-03-22,경기도,11,0.9028571428571429,0.29950005033363897,0.5586697500199079,0.3163026561960578,0.3799269815286001,0.38726305291056634,0.0,0.3013713834186395,0.0348360954473416
